ID_ESTADO,D_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,TIPO_CANDIDATURA,CASILLA,ESTATUS_ACTA,ORDEN,LISTA_NOMINAL_CASILLA,ID_GRUPO,TIPO_RECUENTO,NUM_VOTOS_NULOS,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,TOTAL_VOTOS,BOLETAS_INUTILIZADAS,PAN,PRI,PRD,PVEM,PT,MC,PANAL,PRI_PVEM,PRD_PT_MC,PRD_PT,PRD_MC,PT_MC,ID_MUNICIPIO,LISTA_NOMINAL,VOTOS_RESERVADOS,pan,pri,prd
14,12,2537,2,C,0,1,1,5,349,619,3,2,10,0,396,406,213,154,95,43,2,5,23,16,27,26,1,2,2,99,605,NA,154,124,102
18,3,99,1,B,0,1,1,5,80,428,1,2,4,0,220,224,204,34,115,29,2,14,0,0,8,13,4,0,1,4,414,NA,34,125,61
23,1,530,1,B,0,1,1,1,424,415,NA,NA,3,0,198,201,NA,26,48,60,10,4,2,5,14,24,5,0,0,1,401,NA,26,72,95
25,2,423,1,B,0,1,2,1,555,345,NA,NA,3,0,204,207,NA,68,81,20,1,1,1,3,23,5,1,0,0,1,331,NA,68,105,28
27,3,89,2,C,0,1,1,6,55,666,4,2,11,0,403,414,NA,11,82,218,1,2,3,3,15,49,15,4,0,2,652,1,11,98,291
14,10,3154,1,E,2,1,1,5,180,638,4,2,7,0,299,306,322,91,102,16,7,7,10,14,37,12,3,0,0,120,624,NA,91,146,48
9,9,5402,1,B,0,1,1,1,391,726,NA,NA,7,0,471,478,NA,67,95,140,6,17,10,9,42,65,16,3,1,17,712,NA,67,143,252
28,4,540,1,B,0,1,1,5,87,552,1,3,5,0,220,225,327,72,62,36,4,8,3,2,23,8,0,1,1,22,538,NA,72,89,57
11,13,697,1,C,0,1,2,1,185,621,NA,NA,8,0,282,290,NA,171,71,11,4,2,0,9,11,3,0,0,0,11,607,NA,171,86,16
13,6,955,5,C,0,1,1,5,412,728,4,3,7,0,467,474,247,88,144,84,2,14,11,26,45,43,6,3,1,47,714,NA,88,191,162
26,5,459,1,B,0,1,1,1,32,483,NA,NA,3,0,305,308,NA,132,94,46,0,0,0,1,19,13,0,0,0,49,469,NA,132,113,59
7,3,724,1,E,0,1,2,1,76,569,NA,NA,22,0,426,448,NA,73,69,43,223,3,1,2,7,4,1,0,0,52,555,NA,73,299,52
11,12,442,1,C,0,1,1,5,269,664,3,2,17,0,409,426,236,186,120,43,5,3,7,11,28,4,2,0,0,7,650,NA,186,153,59
15,9,2189,1,B,0,1,1,5,3,643,1,2,3,0,429,432,211,84,167,51,2,3,28,33,39,19,1,2,0,43,629,NA,84,208,104
15,11,1555,1,B,0,1,1,6,231,633,1,3,7,0,405,412,NA,68,105,104,6,3,5,6,50,47,8,1,2,34,619,2,68,161,170
22,4,554,1,B,0,1,2,1,466,287,NA,NA,3,0,138,141,NA,56,50,14,0,0,2,0,11,5,0,0,0,14,273,NA,56,61,21
